nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0375,2,마폭시,5.277,0.292,2.2,0,보만다|타부자고|워시로토무|님피아|히트로토무|마폭시,71|55|18|59|18|78
0.0375,2,마폭시,4.901,0.194,1.0,1,아머까오|히트로토무|마폭시|플라엣테|드래펄트|어흥염,15|25|77|77|87|19
0.0373,2,마폭시,5.037,0.538,2.7,0,한카리아스|워시로토무|불카모스|님피아|마폭시|어흥염,90|27|18|64|79|21
0.0372,2,마폭시,4.883,0.195,0.1,1,아머까오|워시로토무|마폭시|플라엣테|드래펄트|어흥염,16|21|78|75|89|21
0.0369,2,플라엣테,5.296,0.277,8.4,0,보만다|브리두라스|아머까오|히트로토무|플라엣테|드래펄트,66|55|14|23|66|76
0.0366,2,마폭시,5.289,0.296,0.7,0,보만다|타부자고|워시로토무|불카모스|님피아|마폭시,71|55|21|16|58|79
0.0362,1,마폭시,4.879,0.244,3.4,1,타부자고|님피아|히트로토무|마폭시|드래펄트|어흥염,51|57|15|93|75|10
0.0361,2,마폭시,5.426,0.3,7.6,0,보만다|마스카나|워시로토무|님피아|마폭시|어흥염,66|50|22|64|76|22
0.036,2,마폭시,5.122,0.307,1.9,0,보만다|타부자고|아머까오|님피아|마폭시|어흥염,75|57|12|59|78|19
0.0359,1,마폭시,4.855,0.249,3.8,1,타부자고|아머까오|워시로토무|님피아|마폭시|드래펄트,50|8|16|56|93|77
0.0359,2,마폭시,5.162,0.306,0.7,0,보만다|타부자고|아머까오|워시로토무|님피아|마폭시,71|58|12|20|58|80
0.0358,1,마폭시,5.077,0.207,1.2,0,포푸니크|워시로토무|님피아|마폭시|드래펄트|어흥염,43|20|56|93|73|14
0.0355,2,마폭시,5.267,0.319,4.3,0,보만다|마스카나|아머까오|워시로토무|님피아|마폭시,68|52|16|21|63|81
0.0354,1,마폭시,4.851,0.249,3.1,2,타부자고|아머까오|님피아|히트로토무|마폭시|드래펄트,50|8|58|16|92|76
0.0354,2,플라엣테,5.413,0.186,2.9,0,보만다|님피아|히트로토무|플라엣테|드래펄트|어흥염,72|42|25|66|74|21
0.0354,2,마폭시,5.143,0.327,3.4,0,보만다|누리레느|타부자고|님피아|마폭시|어흥염,75|13|60|58|77|18
0.0348,1,마폭시,4.793,0.252,2.4,1,타부자고|아머까오|님피아|마폭시|드래펄트|어흥염,52|8|56|93|77|13
0.0342,2,마폭시,5.153,0.305,3.4,0,보만다|타부자고|아머까오|님피아|히트로토무|마폭시,74|55|12|60|20|79
0.0338,2,플라엣테,5.419,0.546,7.6,1,한카리아스|타부자고|님피아|히트로토무|플라엣테|어흥염,90|58|37|27|63|26
0.0318,2,플라엣테,5.308,0.559,7.6,0,한카리아스|타부자고|불카모스|님피아|플라엣테|어흥염,90|64|24|35|64|23
0.0311,2,플라엣테,5.349,0.198,1.0,0,보만다|아머까오|님피아|히트로토무|플라엣테|드래펄트,74|15|42|31|61|77
0.0306,1,마폭시,4.973,0.26,4.2,1,마스카나|아머까오|님피아|마폭시|드래펄트|어흥염,42|12|61|94|73|18
0.0295,2,망나뇽,5.239,0.609,0.7,0,한카리아스|타부자고|아머까오|망나뇽|님피아|어흥염,91|59|15|61|50|24
0.0295,2,망나뇽,5.34,0.59,3.1,0,한카리아스|타부자고|아머까오|망나뇽|님피아|히트로토무,87|59|16|58|54|26
0.0292,2,마폭시,5.112,0.404,8.6,0,보만다|브리두라스|타부자고|아머까오|마폭시|어흥염,70|69|55|12|76|17
0.0285,2,플라엣테,5.246,0.189,3.3,0,보만다|워시로토무|님피아|히트로토무|플라엣테|드래펄트,77|12|46|28|60|77
0.0281,2,플라엣테,5.203,0.341,2.2,0,보만다|타부자고|마스카나|아머까오|플라엣테|어흥염,79|61|56|11|69|24
0.0281,2,플라엣테,5.186,0.582,6.9,0,한카리아스|마스카나|아머까오|히트로토무|플라엣테|어흥염,93|53|18|38|74|24
0.028,1,망나뇽,5.276,0.322,1.5,0,타부자고|마스카나|아머까오|망나뇽|님피아|드래펄트,44|47|10|87|48|66
0.0279,2,마폭시,4.997,0.599,3.3,0,한카리아스|타부자고|아머까오|워시로토무|마폭시|어흥염,88|67|19|23|82|22
0.0279,2,플라엣테,5.081,0.191,9.6,0,보만다|아머까오|히트로토무|플라엣테|드래펄트|어흥염,71|16|29|77|84|23
0.0272,2,마폭시,5.406,0.256,2.4,0,보만다|킬가르도|워시로토무|님피아|마폭시|어흥염,75|40|28|60|77|20
0.0271,2,플라엣테,5.165,0.565,4.3,0,한카리아스|타부자고|아머까오|님피아|플라엣테|어흥염,90|64|11|37|66|31
0.0271,2,망나뇽,5.18,0.607,3.1,0,한카리아스|타부자고|아머까오|불카모스|망나뇽|님피아,88|66|13|21|58|53
0.0266,1,보만다,5.18,0.247,0.6,0,보만다|타부자고|님피아|히트로토무|드래펄트|어흥염,89|56|53|16|67|19
0.0266,2,플라엣테,5.273,0.565,5.5,1,한카리아스|타부자고|아머까오|님피아|히트로토무|플라엣테,91|59|13|40|34|62
0.026,2,플라엣테,5.092,0.565,6.4,0,한카리아스|타부자고|아머까오|히트로토무|플라엣테|어흥염,92|64|13|33|72|27
0.0251,2,플라엣테,5.293,0.337,4.9,0,보만다|타부자고|마스카나|아머까오|히트로토무|플라엣테,78|58|55|12|28|69
0.025,2,한카리아스,5.154,0.541,5.5,0,보만다|한카리아스|아머까오|님피아|히트로토무|어흥염,74|89|19|63|34|21
0.0246,2,플라엣테,5.197,0.601,8.3,0,한카리아스|브리두라스|아머까오|히트로토무|플라엣테|어흥염,90|62|19|30|73|25
0.0244,2,마폭시,5.213,0.62,5.0,0,한카리아스|마스카나|아머까오|워시로토무|마폭시|어흥염,91|54|30|24|78|23
0.0242,1,플라엣테,5.204,0.241,3.8,1,타부자고|마스카나|히트로토무|플라엣테|드래펄트|어흥염,49|39|23|87|82|19
0.0241,2,마폭시,5.218,0.38,0.9,0,보만다|타부자고|마스카나|아머까오|마폭시|어흥염,71|68|54|16|73|18
0.0238,1,마폭시,4.825,0.204,1.5,1,아머까오|워시로토무|님피아|히트로토무|마폭시|드래펄트,15|20|66|22|94|83
0.0236,1,마폭시,4.825,0.193,2.6,1,워시로토무|님피아|히트로토무|마폭시|드래펄트|어흥염,21|68|20|95|80|15
0.0236,2,마폭시,5.249,0.27,4.8,0,보만다|킬가르도|아머까오|워시로토무|님피아|마폭시,74|40|13|28|64|81
0.0233,1,보만다,4.924,0.256,4.2,0,보만다|타부자고|아머까오|님피아|드래펄트|어흥염,91|58|7|53|71|20
0.0228,2,플라엣테,4.972,0.583,4.9,0,한카리아스|타부자고|아머까오|불카모스|플라엣테|어흥염,93|68|12|28|74|25
0.0226,2,마폭시,5.358,0.255,5.0,1,타부자고|워시로토무|님피아|마폭시|찌르호크|어흥염,58|26|58|85|57|16
0.0221,1,보만다,4.955,0.254,1.5,0,보만다|타부자고|아머까오|님피아|히트로토무|드래펄트,90|56|8|54|19|73
0.0221,2,플라엣테,4.917,0.2,9.6,0,보만다|아머까오|워시로토무|불카모스|플라엣테|드래펄트,74|16|16|29|76|89
0.0219,1,마폭시,5.017,0.359,0.3,1,브리두라스|마스카나|아머까오|마폭시|드래펄트|어흥염,68|37|16|94|67|17
0.0216,1,마폭시,4.776,0.197,1.5,1,워시로토무|불카모스|님피아|마폭시|드래펄트|어흥염,26|15|68|96|81|15
0.0208,2,플라엣테,4.97,0.578,6.4,0,한카리아스|타부자고|아머까오|워시로토무|플라엣테|어흥염,94|67|14|20|73|32
0.0207,1,마폭시,4.755,0.203,4.2,1,아머까오|워시로토무|님피아|마폭시|드래펄트|어흥염,14|22|68|94|84|18
0.0207,2,망나뇽,5.392,0.307,13.6,0,보만다|타부자고|망나뇽|님피아|히트로토무|어흥염,78|63|64|54|20|21
0.0202,1,마폭시,4.65,0.204,5.5,1,아머까오|님피아|히트로토무|마폭시|드래펄트|어흥염,13|69|23|96|85|14
0.0202,2,플라엣테,4.958,0.195,9.6,0,보만다|아머까오|워시로토무|히트로토무|플라엣테|드래펄트,74|19|14|30|76|87
0.0198,2,마폭시,5.205,0.256,4.5,0,보만다|아머까오|워시로토무|님피아|마폭시|어흥염,77|19|31|68|81|24
0.0197,2,마폭시,5.211,0.257,1.5,0,보만다|아머까오|워시로토무|님피아|히트로토무|마폭시,74|20|30|68|24|84
0.0197,2,마폭시,5.249,0.24,7.6,0,보만다|고릴타|워시로토무|님피아|마폭시|어흥염,75|30|24|66|84|22
0.0196,2,플라엣테,5.488,0.264,5.2,1,보만다|타부자고|님피아|히트로토무|플라엣테|어흥염,81|63|42|26|63|25
0.0195,2,마폭시,5.192,0.241,4.8,0,보만다|워시로토무|님피아|히트로토무|마폭시|어흥염,75|32|69|21|83|21
0.0191,1,망나뇽,5.234,0.258,9.0,0,타부자고|망나뇽|님피아|히트로토무|드래펄트|어흥염,53|87|49|18|73|20
0.0189,1,플라엣테,5,0.255,0.9,1,타부자고|마스카나|아머까오|플라엣테|드래펄트|어흥염,54|40|10|87|85|24
0.0189,1,플라엣테,5.103,0.251,4.0,1,타부자고|마스카나|아머까오|히트로토무|플라엣테|드래펄트,48|41|11|29|87|84
0.0179,2,마폭시,5.134,0.257,7.6,0,보만다|고릴타|아머까오|워시로토무|님피아|마폭시,76|28|18|24|69|85
0.0177,1,망나뇽,5.106,0.265,7.9,0,타부자고|불카모스|망나뇽|님피아|드래펄트|어흥염,55|16|88|47|77|18
0.0175,1,망나뇽,5.032,0.26,9.0,0,타부자고|워시로토무|망나뇽|님피아|드래펄트|어흥염,52|10|89|49|77|22
0.0173,1,마폭시,5.302,0.276,1.4,0,타부자고|포푸니크|워시로토무|님피아|마폭시|어흥염,55|56|27|51|94|17
0.0172,2,마폭시,5.129,0.263,1.5,0,보만다|아머까오|워시로토무|불카모스|님피아|마폭시,76|18|32|21|68|85
0.017,2,망나뇽,5.225,0.32,7.6,0,보만다|타부자고|아머까오|망나뇽|님피아|어흥염,79|65|11|64|56|25
0.017,2,마폭시,5.118,0.246,2.2,0,보만다|워시로토무|불카모스|님피아|마폭시|어흥염,76|36|15|68|84|21
0.0169,1,망나뇽,5.034,0.268,7.9,0,타부자고|아머까오|망나뇽|님피아|드래펄트|어흥염,54|10|88|50|78|21
0.0162,2,플라엣테,5.477,0.265,4.7,1,보만다|타부자고|워시로토무|님피아|플라엣테|어흥염,81|65|23|41|62|29
0.016,1,마폭시,4.951,0.325,0.6,1,타부자고|마스카나|아머까오|마폭시|드래펄트|어흥염,72|42|12|92|65|16
0.0158,2,플라엣테,5.267,0.518,7.4,0,한카리아스|아머까오|님피아|히트로토무|플라엣테|어흥염,94|17|47|41|71|30
0.0158,2,마폭시,5.06,0.26,3.1,1,보만다|아머까오|님피아|히트로토무|마폭시|어흥염,80|19|70|27|84|20
0.0157,2,플라엣테,5.389,0.274,5.2,0,보만다|타부자고|불카모스|님피아|플라엣테|어흥염,82|66|23|43|64|22
0.015,2,마폭시,5.013,0.377,8.6,0,보만다|브리두라스|아머까오|워시로토무|마폭시|어흥염,75|80|21|20|82|22
0.0149,2,망나뇽,5.281,0.32,8.1,0,보만다|타부자고|아머까오|망나뇽|님피아|히트로토무,80|64|14|63|56|24
0.0149,2,플라엣테,5.289,0.506,8.0,2,한카리아스|워시로토무|님피아|히트로토무|플라엣테|어흥염,94|20|52|34|69|31
0.0149,2,마폭시,5.256,0.308,4.4,0,보만다|타부자고|알로라 나인테일|워시로토무|마폭시|어흥염,71|77|27|28|77|20
0.0146,1,망나뇽,5.328,0.287,1.6,0,마스카나|아머까오|망나뇽|님피아|히트로토무|드래펄트,52|17|85|52|25|69
0.0141,1,망나뇽,5.26,0.292,5.2,0,마스카나|아머까오|망나뇽|님피아|드래펄트|어흥염,53|16|90|51|66|24
0.014,1,마폭시,4.708,0.319,8.6,1,브리두라스|아머까오|워시로토무|마폭시|드래펄트|어흥염,75|17|14|94|80|19
0.0137,1,플라엣테,5.104,0.228,4.0,1,킬가르도|마스카나|아머까오|히트로토무|플라엣테|드래펄트,36|47|12|31|87|86
0.0134,1,망나뇽,5.142,0.265,8.8,0,타부자고|아머까오|망나뇽|님피아|히트로토무|드래펄트,50|11|86|51|25|76
0.0134,2,망나뇽,5.278,0.565,3.8,0,한카리아스|아머까오|망나뇽|님피아|히트로토무|어흥염,93|24|64|60|37|21
0.0129,1,플라엣테,5.181,0.196,5.3,1,타부자고|님피아|히트로토무|플라엣테|드래펄트|어흥염,53|28|25|87|84|23
0.0128,2,마폭시,4.971,0.262,8.4,0,보만다|아머까오|워시로토무|라우드본|님피아|마폭시,77|20|33|12|71|86
0.0126,1,망나뇽,5.033,0.27,9.5,0,타부자고|아머까오|불카모스|망나뇽|님피아|드래펄트,51|11|21|87|49|81
0.0124,2,플라엣테,5.249,0.278,2.0,0,보만다|타부자고|아머까오|님피아|플라엣테|어흥염,83|66|11|44|65|31
0.0124,2,망나뇽,5.2,0.328,8.1,0,보만다|타부자고|아머까오|불카모스|망나뇽|님피아,80|67|11|25|64|54
0.0122,1,마폭시,5.065,0.374,6.2,1,브리두라스|타부자고|아머까오|님피아|마폭시|어흥염,71|46|13|56|94|21
0.0113,2,플라엣테,5.541,0.224,4.7,1,보만다|킬가르도|님피아|히트로토무|플라엣테|어흥염,84|46|42|33|69|26
0.0109,2,플라엣테,5.333,0.275,5.0,0,보만다|타부자고|아머까오|님피아|히트로토무|플라엣테,83|62|12|47|33|62
0.0108,2,플라엣테,5.351,0.294,4.5,0,보만다|마스카나|아머까오|히트로토무|플라엣테|어흥염,81|62|21|35|75|27
0.0105,1,망나뇽,5.217,0.308,8.5,0,브리두라스|아머까오|망나뇽|님피아|드래펄트|어흥염,56|16|87|44|74|23
0.0102,1,플라엣테,5.048,0.203,3.8,1,타부자고|불카모스|님피아|플라엣테|드래펄트|어흥염,55|22|27|89|87|20
0.01,2,플라엣테,5.293,0.32,11.9,0,보만다|브리두라스|아머까오|히트로토무|플라엣테|어흥염,81|68|20|31|73|26
0.01,2,망나뇽,5.196,0.325,11.4,0,보만다|타부자고|아머까오|워시로토무|망나뇽|님피아,78|68|14|18|63|58
0.0097,1,플라엣테,5.205,0.158,0.5,0,포푸니크|님피아|히트로토무|플라엣테|드래펄트|어흥염,49|29|30|85|86|20
0.0096,1,망나뇽,4.839,0.271,9.5,0,타부자고|아머까오|워시로토무|망나뇽|님피아|드래펄트,51|13|10|91|54|81
0.0094,1,망나뇽,5.288,0.306,9.4,0,브리두라스|아머까오|망나뇽|님피아|히트로토무|드래펄트,56|18|84|44|24|75
0.0094,2,플라엣테,5.486,0.319,10.6,0,보만다|브리두라스|아머까오|님피아|히트로토무|플라엣테,80|65|19|42|35|59
0.0093,2,플라엣테,5.107,0.28,11.7,0,보만다|타부자고|아머까오|히트로토무|플라엣테|어흥염,86|70|14|31|73|26
0.0092,2,플라엣테,5.172,0.334,9.3,0,보만다|브리두라스|아머까오|불카모스|플라엣테|어흥염,84|72|16|32|71|25
0.0077,2,플라엣테,5.249,0.525,9.9,1,한카리아스|아머까오|워시로토무|님피아|히트로토무|플라엣테,95|22|20|51|45|67
0.0074,1,플라엣테,5.187,0.162,4.9,1,킬가르도|님피아|히트로토무|플라엣테|드래펄트|어흥염,42|31|30|88|87|21
0.0073,1,망나뇽,5.192,0.369,5.0,0,타부자고|마스카나|아머까오|망나뇽|님피아|어흥염,56|62|12|93|50|27
0.0072,1,플라엣테,5.058,0.219,2.0,1,마스카나|아머까오|히트로토무|플라엣테|드래펄트|어흥염,52|16|33|88|87|23
0.007,1,플라엣테,5.25,0.223,7.2,1,브리두라스|님피아|히트로토무|플라엣테|드래펄트|어흥염,51|31|26|84|85|23
0.0069,2,플라엣테,5.168,0.521,9.5,1,한카리아스|아머까오|라우드본|님피아|히트로토무|플라엣테,94|16|22|52|44|71
0.0068,2,망나뇽,5.242,0.566,9.9,0,한카리아스|아머까오|워시로토무|망나뇽|님피아|어흥염,93|25|24|67|63|29
0.0067,2,마폭시,5.27,0.198,5.7,1,워시로토무|님피아|히트로토무|마폭시|찌르호크|어흥염,34|68|29|88|64|17
0.0064,1,플라엣테,4.889,0.2,5.3,1,타부자고|알로라 나인테일|히트로토무|플라엣테|드래펄트|어흥염,60|12|28|91|87|23
0.0063,1,플라엣테,4.955,0.242,10.9,1,브리두라스|아머까오|히트로토무|플라엣테|드래펄트|어흥염,59|14|29|87|89|22
0.0062,1,플라엣테,4.899,0.208,3.5,1,타부자고|아머까오|님피아|플라엣테|드래펄트|어흥염,57|10|29|89|88|27
0.0061,1,플라엣테,5.076,0.203,5.6,2,타부자고|아머까오|님피아|히트로토무|플라엣테|드래펄트,51|12|31|33|87|86
0.0058,1,마폭시,5.031,0.342,3.0,1,브리두라스|아머까오|워시로토무|님피아|히트로토무|마폭시,78|18|23|57|27|97
0.0053,2,망나뇽,5.202,0.576,2.8,0,한카리아스|아머까오|불카모스|망나뇽|님피아|어흥염,93|24|28|67|65|23
0.0052,1,망나뇽,5.075,0.232,8.8,0,킬가르도|아머까오|망나뇽|님피아|히트로토무|드래펄트,38|12|88|53|27|83
0.0048,1,마폭시,4.951,0.342,6.4,1,브리두라스|아머까오|님피아|히트로토무|마폭시|어흥염,78|17|62|27|97|19
0.0047,1,플라엣테,5.003,0.227,0.9,1,마스카나|아머까오|불카모스|플라엣테|드래펄트|어흥염,53|14|31|89|89|25
0.0045,2,마폭시,5.334,0.267,10.5,1,아머까오|워시로토무|망나뇽|님피아|마폭시|어흥염,21|34|69|68|82|26
0.0044,1,마폭시,5.055,0.323,7.9,1,브리두라스|워시로토무|님피아|히트로토무|마폭시|어흥염,74|22|61|24|97|22
0.0042,1,망나뇽,5.276,0.366,4.8,0,타부자고|마스카나|아머까오|망나뇽|님피아|히트로토무,50|63|15|92|51|29
