nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0503,2,마폭시,5.107,0.208,0.8,0,보만다|에이스번|워시로토무|님피아|마폭시|엠페르트,63|74|23|56|76|9
0.0502,1,한카리아스,4.936,0.569,0.0,0,한카리아스|마스카나|아머까오|에이스번|님피아|히트로토무,98|49|14|77|46|15
0.05,2,마폭시,5.014,0.576,1.2,0,한카리아스|타부자고|아머까오|워시로토무|님피아|마폭시,85|54|12|16|55|78
0.0498,1,한카리아스,4.832,0.572,3.6,0,한카리아스|마스카나|아머까오|에이스번|워시로토무|님피아,98|50|14|80|11|47
0.0498,2,망나뇽,5.48,0.257,10.1,0,보만다|타부자고|에이스번|워시로토무|망나뇽|님피아,67|42|72|14|60|46
0.0498,2,마폭시,5.066,0.211,1.4,0,보만다|에이스번|알로라 나인테일|워시로토무|님피아|마폭시,61|74|7|22|58|76
0.0494,2,갑주무사,4.941,0.555,3.8,0,한카리아스|갑주무사|마스카나|에이스번|워시로토무|님피아,96|18|47|80|12|47
0.0493,2,마폭시,4.915,0.211,1.4,0,보만다|에이스번|워시로토무|라우드본|님피아|마폭시,63|76|23|4|58|77
0.0492,2,마폭시,4.983,0.222,0.8,0,보만다|누리레느|에이스번|워시로토무|님피아|마폭시,62|5|75|23|58|76
0.0492,2,마폭시,5.297,0.378,1.6,0,보만다|브리두라스|타부자고|아머까오|님피아|마폭시,65|62|38|9|49|78
0.049,2,망나뇽,5.48,0.307,11.2,0,보만다|브리두라스|아머까오|에이스번|망나뇽|님피아,65|53|12|71|56|43
0.049,2,망나뇽,5.467,0.256,10.1,0,보만다|타부자고|에이스번|망나뇽|님피아|히트로토무,67|42|73|58|46|13
0.0489,2,갑주무사,4.929,0.535,5.7,0,한카리아스|갑주무사|타부자고|에이스번|워시로토무|님피아,94|18|52|82|12|42
0.0487,1,마폭시,5.107,0.309,2.6,0,브리두라스|타부자고|아머까오|에이스번|님피아|마폭시,55|31|8|69|46|92
0.0485,1,마폭시,5.2,0.286,2.3,0,타부자고|마스카나|아머까오|에이스번|님피아|마폭시,40|40|10|67|52|91
0.0484,2,망나뇽,5.534,0.288,0.6,0,보만다|마스카나|아머까오|에이스번|망나뇽|님피아,56|48|14|71|64|48
0.048,2,마폭시,4.795,0.211,1.4,0,보만다|에이스번|워시로토무|님피아|마폭시|찌리배리,62|77|23|59|77|1
0.048,2,망나뇽,5.453,0.257,10.1,0,보만다|타부자고|고릴타|에이스번|망나뇽|님피아,67|42|13|73|60|46
0.0472,2,망나뇽,5.246,0.306,0.6,0,마스카나|갸라도스|아머까오|에이스번|망나뇽|님피아,51|40|10|77|82|39
0.0466,2,망나뇽,5.31,0.266,7.9,0,보만다|타부자고|아머까오|에이스번|망나뇽|님피아,69|42|8|73|59|48
0.0464,1,한카리아스,4.784,0.547,0.0,0,한카리아스|타부자고|아머까오|에이스번|워시로토무|님피아,97|51|11|83|13|46
0.0464,2,마폭시,4.92,0.235,0.7,0,갸라도스|아머까오|에이스번|워시로토무|님피아|마폭시,50|9|76|18|57|91
0.0463,2,망나뇽,5.493,0.262,2.8,0,보만다|타부자고|에이스번|알로라 나인테일|망나뇽|님피아,66|43|70|13|61|47
0.0462,1,한카리아스,4.943,0.579,0.0,0,한카리아스|브리두라스|아머까오|에이스번|님피아|히트로토무,97|50|12|77|46|17
0.046,2,갑주무사,4.914,0.567,5.7,0,한카리아스|갑주무사|브리두라스|에이스번|워시로토무|님피아,94|21|51|82|10|43
0.0453,2,마폭시,5.259,0.288,0.7,1,마스카나|아머까오|에이스번|워시로토무|망나뇽|마폭시,54|19|88|19|67|52
0.0452,1,마폭시,4.948,0.285,0.7,0,브리두라스|아머까오|에이스번|워시로토무|님피아|마폭시,58|12|74|15|48|92
0.0451,1,한카리아스,4.846,0.544,0.9,0,한카리아스|타부자고|아머까오|에이스번|님피아|히트로토무,96|50|11|81|47|16
0.0448,1,망나뇽,5.241,0.304,4.2,0,타부자고|마스카나|에이스번|망나뇽|님피아|히트로토무,39|51|72|88|39|11
0.0446,1,망나뇽,5.222,0.302,4.2,0,타부자고|마스카나|에이스번|워시로토무|망나뇽|님피아,38|49|74|12|89|37
0.0443,2,보만다,5.35,0.261,0.6,0,보만다|타부자고|갸라도스|에이스번|님피아|히트로토무,86|40|44|71|46|14
0.0442,1,마폭시,5.014,0.291,0.6,0,브리두라스|아머까오|에이스번|삼삼드래|님피아|마폭시,58|11|70|19|48|93
