atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
고릴타,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
킬가르도,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마스카나,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갸라도스,-0.2573,-0.2267,,-0.3952,,-0.6644,-0.7955,,,,,,,0,,0.2401,,-0.2530,,-0.3288,,,,,,,,,-0.3288,0.0612,,,0.4735,,-0.0955,0.0068,,-0.6644,0.7068,-0.0955,,0.7068,,-0.4629,,-0.0062,,-0.3288,,,,,-0.7528,,0.1379,-0.8977,-0.8525,,,0.1379,-0.2586,,-0.0148,,-0.0955,1.0000,0.0068,,,,-0.2400,,,0.2400,,0.9488,,,,,,,,-0.3288,,-0.5621,,0.2401,,,,,-0.2181,0.3424,,-0.5467,,,,0.1379
아머까오,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
킬라플로르,-0.3594,-0.6644,,-0.0955,,-0.6644,-0.1977,,,,,,,-0.4311,,0,,0.7299,,-0.6644,,,,,,,,,-0.6644,-0.1433,,,-0.1977,,0.0068,-0.3288,,-0.1977,-0.1977,-0.3288,,0.1379,,0.1965,,0.9906,,0.0068,,,,,-0.2454,,-0.4311,-0.3288,-0.1805,,,0.1379,0.2702,,-0.1312,,0.3712,-0.3288,-0.6644,,,,-0.4979,,,0.8090,,0.8514,,,,,,,,0.3712,,-0.6644,,-0.0955,,,,,0.0356,-0.0955,,-0.1819,,,,-0.0955
대쓰여너,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리자몽,-0.7157,-0.3815,,0.8321,,0.3159,0.0852,,,,,,,0.0852,,-0.8977,,0,,-0.3288,,,,,,,,,-0.0724,-0.1443,,,-0.1219,,0.0826,-0.2518,,-0.4311,0.0587,-0.5886,,0.2136,,0.7887,,0.9731,,-0.6644,,,,,-0.0224,,-0.2504,-0.3288,0.3621,,,0.7299,0.4496,,0.6079,,0.9089,-0.3288,-0.3553,,,,0.1708,,,0.7530,,0.6499,,,,,,,,-0.0724,,0.0075,,-0.0724,,,,,0.2202,-0.2125,,-0.0724,,,,0.0852
포푸니크,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개굴닌자,0.3712,-0.3288,,-0.4311,,-0.1977,-0.0955,,,,,,,0.1379,,0.3712,,0.1379,,0,,,,,,,,,0.1379,0.1356,,,0.1379,,-0.1977,0.1379,,0.0356,0.1379,-0.1977,,0.1379,,-0.1390,,0.1023,,-0.3288,,,,,0.0764,,-0.1977,-0.1977,-0.3009,,,0.1379,0.2702,,-0.2473,,-0.1316,1.0000,0.3712,,,,0.2118,,,0.1379,,0.9971,,,,,,,,-0.1977,,-0.4311,,0.1379,,,,,0.0152,0.7068,,-0.0955,,,,0.1379
