atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
깨비물거미,-0.7567,-0.7955,,-0.5344,,-0.4623,-0.7955,,,,,,,-0.2267,,-0.5621,,-0.3057,,0.1084,,,,,,,,,-0.7666,-0.5448,,,-0.6843,,-0.4623,-0.3288,,-0.3288,-0.5148,-0.7962,,-0.7955,,-0.7955,,-0.6739,,-0.6328,,,,,-0.8142,,-0.8977,-0.7955,-0.7527,,,-0.5337,-0.6499,,-0.6995,,-0.5793,0.0370,-0.5621,,,,-0.8236,,,-0.2458,,-0.0234,,,,,,,0,-0.5319,,-0.4676,,-0.4623,,,,,-0.7803,-0.0639,,-0.7955,,,,-0.7955
가디안,-0.3288,0.0068,,-0.1022,,-0.6644,-0.3288,,,,,,,-0.3288,,-0.6644,,-0.5396,,-0.3288,,,,,,,,,-0.8977,-0.0685,,,-0.0955,,-0.3288,-0.7955,,-0.3288,-0.0955,-0.3288,,-0.4311,,0.1379,,0.2961,,0.2401,,,,,-0.3288,,0.1379,-0.3288,-0.7524,,,0.1379,-0.2591,,-0.2473,,-0.0955,0.0068,-0.8977,,,,-0.5903,,,0.1379,,0.6191,,,,,,,,0,,-0.3288,,-0.5621,,,,,-0.1977,-0.5621,,-0.5982,,,,-0.1977
왕구리,-0.3288,-0.5621,,-0.3011,,-0.3288,-0.7955,,,,,,,-0.7955,,-0.3288,,-0.3815,,-0.7955,,,,,,,,,-0.5621,-0.3940,,,-0.7000,,-0.2267,0.0068,,-0.3288,-0.5621,-0.6644,,-0.5621,,-0.5978,,0.0628,,-0.2267,,,,,-0.4806,,-0.5621,-0.5621,-0.7533,,,0.4735,-0.8263,,-0.4972,,-0.8245,-0.6980,-0.3288,,,,-0.7248,,,-0.3288,,0.1498,,,,,,,,-0.7955,0,-0.7955,,-0.7955,,,,,-0.0955,0.0068,,-0.7955,,,,-0.3288
엘레이드,-0.5969,-0.3288,,-0.4009,,-0.3288,-0.3288,,,,,,,-0.3175,,-0.1033,,-0.6123,,0.0068,,,,,,,,,-0.5621,-0.1600,,,-0.0955,,-0.3288,-0.5621,,-0.3288,0.1379,-0.3288,,-0.2056,,-0.6008,,-0.0708,,-0.5621,,,,,-0.8458,,0.6989,-0.3288,-0.8525,,,0.1379,-0.2507,,0.3096,,-0.0874,-0.0011,-0.3288,,,,-0.8952,,,0.4735,,0.1453,,,,,,,,-0.6610,,0,,-0.3367,,,,,0.0115,-0.3175,,-0.3288,,,,0.1379
브리무음,-0.2930,0.1746,,-0.3288,,-0.6644,-0.3288,,,,,,,0.0068,,-0.6644,,-0.5940,,-0.3288,,,,,,,,,-0.7299,-0.0017,,,-0.5621,,-0.4966,-0.7955,,-0.3288,-0.3288,-0.4455,,-0.7811,,-0.1359,,-0.3355,,0.1234,,,,,-0.0547,,-0.3288,-0.3288,-0.7739,,,-0.3288,-0.4924,,-0.4047,,-0.5621,-0.0600,-0.4455,,,,-0.6467,,,-0.3288,,0.7363,,,,,,,,-0.7955,,-0.3232,0,-0.5621,,,,,-0.6644,-0.5621,,-0.6969,,,,-0.6644
눈여아,-0.2589,-0.3288,,-0.8022,,-0.8977,-0.3288,,,,,,,-0.6644,,-0.4311,,-0.4838,,-0.5621,,,,,,,,,-0.6644,0.1356,,,-0.0955,,-0.6644,-0.8977,,-0.6644,-0.3288,-0.5621,,-0.1977,,-0.5970,,0.2292,,-0.3288,,,,,-0.0955,,-0.6644,-0.0095,-0.5351,,,-0.3288,-0.0252,,0.0540,,-0.4311,0.0068,-0.4311,,,,-0.4979,,,0.4735,,-0.1967,,,,,,,,-0.0955,,-0.3288,,0,,,,,-0.0955,-0.8977,,-0.2728,,,,0.1379
어흥염,-0.7256,-0.7955,,0.4911,,-0.4548,-0.2267,,,,,,,-0.3184,,-0.8873,,-0.1813,,-0.3288,,,,,,,,,0.0068,-0.7464,,,-0.8977,,-0.3288,0.3424,,-0.5859,-0.7955,-0.3288,,0.3765,,0.1315,,-0.1706,,-0.2947,,,,,-0.5539,,-0.3288,-0.3288,-0.2969,,,0.8194,-0.0840,,-0.3603,,0.3495,0.0068,-0.3288,,,,0.2841,,,0.0409,,0.9887,,,,,,,,-0.2947,,-0.3584,,0.6098,0,,,,0.0247,0.0068,,-0.0241,,,,-0.1192
마릴리,-0.2950,0.2486,,-0.1658,,-0.5621,-0.0870,,,,,,,-0.5621,,-0.8977,,-0.3815,,-0.3288,,,,,,,,,-0.5108,-0.4848,,,-0.4161,,-0.8977,0.0068,,-0.5621,-0.7955,-0.8977,,-0.7955,,-0.5655,,-0.3376,,0.0068,,,,,-0.2506,,-0.3288,-0.3288,-0.6697,,,-0.1828,-0.8263,,-0.7955,,-0.8245,-0.1109,-0.5621,,,,-0.6578,,,-0.7955,,1.0000,,,,,,,,-0.7955,,-0.5621,,-0.7955,,0,,,-0.8977,-0.0870,,-0.5982,,,,-0.8977
올리르바,-0.8548,-0.3611,,-0.8248,,-0.6644,-0.7020,,,,,,,-0.1331,,-0.3698,,-0.8746,,-0.3288,,,,,,,,,-0.5621,-0.6992,,,-0.2676,,-0.4686,-0.8977,,-0.6644,-0.0342,-0.3288,,-0.5621,,-0.7955,,-0.5361,,-0.3288,,,,,-0.7010,,-0.4686,-0.8042,-0.7529,,,0.0068,-0.1763,,-0.7248,,-0.6966,0.0068,-0.2676,,,,-0.8068,,,-0.7955,,0.6383,,,,,,,,-0.5023,,-0.6968,,-0.7020,,,0,,-0.7701,-0.6031,,-0.6856,,,,-0.6966
스트린더(로우),-0.8977,-0.8977,,-0.6644,,-0.5621,-0.8977,,,,,,,-0.6644,,-0.8977,,-0.3815,,-0.6644,,,,,,,,,-0.8977,-0.8977,,,-0.3288,,-0.5621,-0.8977,,-0.8977,-0.6644,-0.2267,,-0.3288,,0.0466,,0.7492,,-0.5621,,,,,0.0883,,-0.6644,-0.5621,-0.4319,,,-0.0955,-0.5942,,-0.8312,,-0.0955,-0.3288,-0.8977,,,,-0.5903,,,0.9065,,0.1498,,,,,,,,-0.6644,,-0.8977,,-0.5621,,,,0,-0.4311,-0.8977,,-0.8977,,,,-0.3288
펜드라,-0.8601,-0.5621,,-0.3202,,-0.5537,-0.3288,,,,,,,0.3507,,-0.1977,,-0.1977,,-0.3288,,,,,,,,,-0.0955,-0.3936,,,-0.0955,,-0.3288,-0.7870,,-0.3204,-0.4514,-0.3288,,-0.3288,,-0.7484,,0.2956,,-0.5621,,,,,-0.3475,,-0.4311,-0.5621,0.1379,,,0.0808,0.6964,,0.5642,,-0.1664,-0.3288,-0.0955,,,,-0.8236,,,0.7484,,0.3215,,,,,,,,0.0356,,-0.0955,,-0.5621,,,,,0,-0.8977,,-0.1144,,,,-0.1440
화염레오,-0.7256,-0.5621,,0.3712,,-0.4311,-0.0955,,,,,,,-0.3288,,-0.1977,,0.0106,,-0.8977,,,,,,,,,-0.3288,-0.5644,,,-0.6644,,-0.6644,-0.5621,,-0.4311,-0.6644,-0.3288,,0.4735,,0.3712,,0.7652,,-0.3288,,,,,-0.5809,,-0.6644,-0.6644,0.2677,,,0.7068,0.3724,,-0.0306,,0.7139,-0.5621,0.0356,,,,-0.0214,,,0.4735,,0.5168,,,,,,,,-0.0955,,-0.8864,,0.2401,,,,,0.2486,0,,-0.0955,,,,-0.3288
윈디(히스이),-0.4317,-0.6606,,0.1314,,-0.4398,-0.1977,,,,,,,-0.2064,,-0.6606,,0.3284,,-0.6644,,,,,,,,,-0.6519,-0.4937,,,-0.2064,,-0.3288,0.2401,,-0.6606,-0.6731,-0.3288,,0.1503,,0.3734,,0.9910,,-0.3288,,,,,-0.5873,,-0.1977,-0.6519,0.0591,,,0.4859,0.0345,,-0.1355,,0.3775,-0.6606,-0.6644,,,,-0.4241,,,0.8129,,0.8532,,,,,,,,0.0068,,-0.6805,,0.2526,,,,,-0.0787,-0.1042,0,-0.6953,,,,-0.1939
캥카,-0.2681,-0.5621,,0.0456,,-0.7005,-0.1316,,,,,,,0.2400,,-0.3288,,-0.3057,,0.0068,,,,,,,,,-0.5982,-0.3940,,,-0.0955,,-0.3288,-0.3288,,-0.6644,-0.0955,-0.3288,,0.2400,,0.0336,,0.5006,,-0.5982,,,,,-0.6436,,0.1018,-0.7005,-0.3038,,,0.2400,-0.0101,,0.3108,,0.1492,0.3059,-0.5103,,,,-0.5120,,,0.2915,,0.0182,,,,,,,,-0.2769,,-0.3715,,-0.5103,,,,,0.0863,-0.5103,,0,,,,0.1018
꿈트렁,-0.7955,-0.7955,,-0.7941,,-0.6644,0.3413,,,,,,,0.1066,,0.0244,,-0.7266,,-0.3288,,,,,,,,,-0.7780,-0.7955,,,-0.7955,,-0.6766,-0.8977,,-0.6591,-0.6981,-0.6644,,-0.2267,,-0.7406,,-0.5217,,-0.5621,,,,,-0.7955,,-0.3288,-0.3288,-0.1684,,,0.3891,0.0765,,0.2535,,-0.8977,-0.4206,-0.2267,,,,-0.5185,,,0.1497,,0.5716,,,,,,,,-0.3288,,-0.5818,,-0.3112,,,,,0.6718,-0.6766,,-0.1604,0,,,-0.4135
에써르(암컷),-0.7256,-0.5621,,-0.1977,,-0.8977,-0.7955,,,,,,,-0.6644,,-0.3288,,-0.7735,,-0.5621,,,,,,,,,-0.7955,-0.7464,,,-0.3288,,-0.3288,-0.7955,,-0.3288,-0.3288,-0.5621,,-0.0955,,-0.0049,,-0.2082,,-0.3288,,,,,-0.5194,,-0.3288,-0.3288,-0.7533,,,0.2400,-0.2607,,0.5384,,-0.0955,-0.6980,-0.5621,,,,-0.7312,,,0.4735,,-0.1967,,,,,,,,-0.7955,,-0.5700,,-0.5621,,,,,-0.0213,-0.5621,,-0.7955,,0,,0.1379
후딘,-0.4293,-0.5621,,-0.6644,,-0.1977,-0.1977,,,,,,,-0.1977,,0.1379,,-0.1482,,-0.6644,,,,,,,,,-0.0955,-0.3311,,,-0.0955,,-0.6644,-0.5621,,-0.1977,-0.1977,-0.3288,,-0.1977,,-0.5652,,-0.1310,,-0.6644,,,,,0.1379,,0.0356,-0.6644,-0.4319,,,-0.0955,0.0415,,0.6918,,-0.0955,-0.0955,0.1379,,,,-0.2646,,,0.1379,,-0.1534,,,,,,,,-0.0955,,-0.0955,,-0.0955,,,,,-0.1977,-0.3288,,-0.1458,,,0,0.1379
드래캄,-0.3594,-0.4311,,-0.3952,,-0.3288,-0.6644,,,,,,,-0.5621,,-0.3288,,-0.3057,,-0.3288,,,,,,,,,-0.5621,-0.6100,,,-0.3288,,0.0068,-0.3288,,-0.3288,-0.8977,0.3424,,-0.3288,,-0.5435,,0.3068,,-0.3288,,,,,-0.2454,,-0.3288,-0.3288,-0.2837,,,-0.5621,0.1391,,-0.2267,,0.6490,-0.3288,-0.6644,,,,-0.4898,,,0.7599,,0.5168,,,,,,,,-0.3288,,-0.3367,,-0.3288,,,,,-0.3288,0.0068,,-0.3649,,,,0
